# E_MeV sigma_mb
3.017064000e+00 0.000000000e+00
4.000000000e+00 7.134272000e+01
5.000000000e+00 9.555468000e+01
6.000000000e+00 1.232421000e+02
7.000000000e+00 1.303665000e+02
8.000000000e+00 1.486444000e+02
9.000000000e+00 1.607329000e+02
1.000000000e+01 1.620358000e+02
1.100000000e+01 1.715685000e+02
1.200000000e+01 1.748965000e+02
1.300000000e+01 1.753997000e+02
1.400000000e+01 1.715875000e+02
1.500000000e+01 1.672447000e+02
1.600000000e+01 1.363461000e+02
1.700000000e+01 1.282537000e+02
1.800000000e+01 1.183348000e+02
1.900000000e+01 1.063599000e+02
2.000000000e+01 9.073645000e+01
2.200000000e+01 6.379622000e+01
2.400000000e+01 4.270630000e+01
2.600000000e+01 3.065590000e+01
2.800000000e+01 2.200819000e+01
3.000000000e+01 1.725527000e+01
3.500000000e+01 1.165311000e+01
4.000000000e+01 7.737211000e+00
4.500000000e+01 6.017757000e+00
5.000000000e+01 4.900138000e+00
5.500000000e+01 3.761932000e+00
6.000000000e+01 3.377147000e+00
6.500000000e+01 2.670358000e+00
7.000000000e+01 2.553811000e+00
7.500000000e+01 2.155425000e+00
8.000000000e+01 1.700120000e+00
9.000000000e+01 1.459640000e+00
1.000000000e+02 1.052459000e+00
1.100000000e+02 9.409581000e-01
1.200000000e+02 7.151043000e-01
1.300000000e+02 6.935520000e-01
1.400000000e+02 5.178441000e-01
1.500000000e+02 4.901788000e-01
1.600000000e+02 4.681810000e-01
1.800000000e+02 3.713472000e-01
2.000000000e+02 2.932286000e-01
