# merged XS for 11B(alpha,n)14N merged MT50-MT54+MT91
# columns: projectile_energy_MeV  sigma_mb
1.500000000e+00  7.540200000e+00
2.000000000e+00  2.664800000e+01
2.500000000e+00  2.093000000e+01
2.897158000e+00  3.599264480e+01
3.000000000e+00  5.637399700e+01
3.500000000e+00  9.384600000e+01
4.000000000e+00  1.612599900e+02
4.500000000e+00  1.223540000e+02
5.000000000e+00  1.603680000e+02
5.500000000e+00  1.555293000e+02
6.000000000e+00  1.045304000e+02
6.061021000e+00  1.236958695e+02
6.500000000e+00  6.025690000e+01
6.845508000e+00  9.819889046e+01
7.000000000e+00  9.010732000e+01
7.500000000e+00  1.056194000e+02
8.000000000e+00  8.923000000e+01
8.500000000e+00  5.966043000e+01
9.000000000e+00  9.780448000e+01
9.192954000e+00  6.787234903e+01
9.261064000e+00  6.855072838e+01
9.500000000e+00  7.770861000e+01
9.934270000e+00  5.261198750e+01
1.000000000e+01  8.901001000e+01
1.050000000e+01  6.478446000e+01
1.087831000e+01  3.781855766e+01
1.100000000e+01  7.535114000e+01
1.150000000e+01  9.306727000e+01
1.167226000e+01  4.510560932e+01
1.200000000e+01  1.049994200e+02
1.216364000e+01  4.571433127e+01
1.250000000e+01  1.096105300e+02
1.252230000e+01  4.297336106e+01
1.264257000e+01  4.246142776e+01
1.300000000e+01  1.179792200e+02
1.339021000e+01  4.142369103e+01
1.346248000e+01  4.128713434e+01
1.350000000e+01  1.231996500e+02
1.399291000e+01  3.941658974e+01
1.400000000e+01  1.250895900e+02
1.408563000e+01  3.887966858e+01
1.417493000e+01  3.828603955e+01
1.445652000e+01  3.606417561e+01
1.450000000e+01  1.198799600e+02
1.494468000e+01  3.125847986e+01
1.500000000e+01  1.087595500e+02
